controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,SaturationFraction
Residual SAC-LQR,RL hybrid,2.0,nominal,sine,15.662838952914914,1171.7152761809054,0.7352334457545169,161.62831974367907,0.4870259481037924
Residual SAC-LQR,RL hybrid,2.0,ra_plus_50,step_nominal,16.911317815933796,1108.7954294590363,0.8425120549047733,197.7354799158317,0.6666666666666666
Residual SAC-LQR,RL hybrid,2.0,ra_plus_50,step_load_disturbance,17.237554757158737,1119.432930347895,0.1046979912935057,211.62260132669857,0.7085828343313373
Residual SAC-LQR,RL hybrid,2.0,ra_plus_50,ramp,0.7497208371685884,1.1364556343611376,1.3224260088296802,140.03548041855245,0.0
Residual SAC-LQR,RL hybrid,2.0,ra_plus_50,sine,19.65285787257439,1545.8531007341696,1.5706010873711875,201.4926882735253,0.590818363273453
Residual SAC-LQR,RL hybrid,2.0,j_plus_50,step_nominal,18.368769753745067,1216.180264849379,0.8445884270123116,211.17702745028683,0.7145708582834331
Residual SAC-LQR,RL hybrid,2.0,j_plus_50,step_load_disturbance,18.654831734782853,1226.803052474137,0.2420563737092607,221.12524988681685,0.7485029940119761
Residual SAC-LQR,RL hybrid,2.0,j_plus_50,ramp,0.7537426379590905,1.1495822150252493,1.4201661896319564,139.7189093415023,0.0
Residual SAC-LQR,RL hybrid,2.0,j_plus_50,sine,20.785288676504663,1666.1739121323171,1.6172672586089618,207.44554660699012,0.6167664670658682
Residual SAC-LQR,RL hybrid,2.0,friction,step_nominal,12.60155120907982,829.0592147062472,0.7860972433830256,145.6612874099099,0.4870259481037924
Residual SAC-LQR,RL hybrid,2.0,friction,step_load_disturbance,12.57876780137595,829.6370885263458,0.1966446275325637,151.68312067726225,0.497005988023952
Residual SAC-LQR,RL hybrid,2.0,friction,ramp,0.459346294927245,0.4287825007332201,0.6723558902765916,73.88965599462352,0.0
Residual SAC-LQR,RL hybrid,2.0,friction,sine,15.916251044987405,1196.2775401833064,0.7959992743659399,163.77266156399574,0.4930139720558882
Residual SAC-LQR,RL hybrid,2.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,saturation,ramp,2.7766092441109373,18.24930168280033,9.64653513299288,267.765604713285,0.8403193612774451
Residual SAC-LQR,RL hybrid,2.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,2.0,combined_stress,ramp,5.548116353088327,78.32985635816729,21.414253128867017,276.40992062100315,0.9221556886227544
Residual SAC-LQR,RL hybrid,2.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,3.0,nominal,step_nominal,12.314354677403031,811.3642041933109,0.0551604183223588,142.4904848711858,0.4790419161676646
Residual SAC-LQR,RL hybrid,3.0,nominal,step_load_disturbance,12.24647841957703,811.7440057800699,0.0409732722746127,147.9692302541801,0.4870259481037924
Residual SAC-LQR,RL hybrid,3.0,nominal,ramp,0.2507539343730228,0.1316769582565234,0.4139825435219393,69.04662476533949,0.0
Residual SAC-LQR,RL hybrid,3.0,nominal,sine,15.65588955222727,1171.6757087007622,0.7635805667293596,162.5671414408696,0.4870259481037924
Residual SAC-LQR,RL hybrid,3.0,ra_plus_50,step_nominal,16.884463017201167,1108.7590596564405,0.427043279979074,198.17344491893243,0.6706586826347305
Residual SAC-LQR,RL hybrid,3.0,ra_plus_50,step_load_disturbance,17.221376312700045,1119.4175170511917,0.0730257170332322,212.4973044128182,0.7085828343313373
Residual SAC-LQR,RL hybrid,3.0,ra_plus_50,ramp,0.585655431748182,0.7011178969057573,1.0343070812633215,141.19173064874752,0.0
Residual SAC-LQR,RL hybrid,3.0,ra_plus_50,sine,19.68104389743319,1545.9213216473972,1.684349354672463,202.86075306147683,0.6047904191616766
Residual SAC-LQR,RL hybrid,3.0,j_plus_50,step_nominal,18.34507784335152,1216.147836521812,0.4791658407788617,211.42682280182103,0.7145708582834331
Residual SAC-LQR,RL hybrid,3.0,j_plus_50,step_load_disturbance,18.65619976750049,1226.797969327076,0.200213143923662,221.91598693648868,0.7485029940119761
Residual SAC-LQR,RL hybrid,3.0,j_plus_50,ramp,0.5847106811950378,0.7008573617772891,1.0248320281546768,141.13061165747837,0.0
Residual SAC-LQR,RL hybrid,3.0,j_plus_50,sine,20.82226807835974,1666.2670501588511,1.6555420462765795,209.1435410551376,0.6347305389221557
Residual SAC-LQR,RL hybrid,3.0,friction,step_nominal,12.565962393334411,829.0314122611434,0.0287709868117644,146.19195473118623,0.4890219560878243
Residual SAC-LQR,RL hybrid,3.0,friction,step_load_disturbance,12.521023157410228,829.6007749787698,0.048182992579342,152.35315882144238,0.497005988023952
