controller,condition,scenario,iae,ise,steady_state_error,control_energy,rise_time,settling_time,overshoot_pct,saturation_fraction
Hinf_state_feedback,j_plus_50,ramp,0.5951507815343312,0.7115313744875873,1.2019422063314147,140.4407050379168,0.456999999999966,0.0,-1.2019422149528871,0.0
Hinf_state_feedback,j_plus_50,sine,20.687423717297957,1661.0656294093706,1.3794427032228975,210.830288033287,,0.3079999999999824,-17.919737742472073,0.622
Hinf_state_feedback,friction,step_nominal,12.415375896708195,823.965204568299,0.03520032507855689,145.88545542072868,0.22499999999999154,0.24399999999998945,-0.03520032063853762,0.492
Hinf_state_feedback,friction,step_load_disturbance,12.497726536197469,824.6057850336051,0.17600152977224012,152.27409070494346,0.2279999999999912,0.2489999999999889,-0.17600152654971168,0.502
Hinf_state_feedback,friction,ramp,0.41586907100118176,0.3467680199900393,0.8365630018834591,73.75696301121577,0.4549999999999662,0.0,-0.8365629951099232,0.0
Hinf_state_feedback,friction,sine,15.744377236086647,1190.9187978312425,0.9649700899687437,165.23434708569093,,0.24599999999998923,-16.835091517631515,0.496
Hinf_state_feedback,saturation,step_nominal,26.894748234560396,1800.0698049790526,12.410328991421089,288.0,0.48899999999996246,0.49999999999996125,-7.922247162385119,1.0
Hinf_state_feedback,saturation,step_load_disturbance,28.47695818537347,1894.1140437533888,22.059021367893575,288.0,,0.49999999999996125,-18.426330494000013,1.0
Hinf_state_feedback,saturation,ramp,2.5354473820589227,15.514386163149606,8.701257996030819,277.46057872232007,0.4959999999999617,0.49999999999996125,-9.11248319351112,0.92
Hinf_state_feedback,saturation,sine,26.894748234560176,2193.2257989033787,6.448788162501064,288.0,,0.49999999999996125,-23.268539301987598,1.0
Hinf_state_feedback,combined_stress,step_nominal,29.775800899153367,2040.3013576260234,23.779816709919142,288.0,,0.49999999999996125,-19.954979792767375,1.0
Hinf_state_feedback,combined_stress,step_load_disturbance,31.34468733596149,2163.0704744647733,33.31574999494058,288.0,,0.49999999999996125,-30.325407092927847,1.0
Hinf_state_feedback,combined_stress,ramp,5.3258445522884506,73.31495206749614,19.866086481435264,281.2704339977692,,0.49999999999996125,-20.938554252710535,0.958
Hinf_state_feedback,combined_stress,sine,29.77580089915315,2395.1684745709326,17.818275880999124,288.0,,0.49999999999996125,-33.295816493972815,1.0
MPC_linear_clipped,nominal,step_nominal,12.14715754959009,806.2889685231982,5.076724676200683e-09,141.35643313581613,0.2199999999999921,0.2399999999999899,7.181824912549928e-09,0.476
MPC_linear_clipped,nominal,step_load_disturbance,12.250135438057871,806.7678599262053,0.2602821648328245,147.02240115358833,0.22199999999999187,0.24299999999998956,-0.2602821607872272,0.482
MPC_linear_clipped,nominal,ramp,0.7314944916473185,1.0763380153326008,1.481398880017292,67.6485363880668,0.4579999999999659,0.0,-1.4813988856771951,0.0
MPC_linear_clipped,nominal,sine,15.606857672925344,1166.5877234367001,1.686274155914268,161.14559501108428,,0.24299999999998956,-16.36630874722731,0.486
MPC_linear_clipped,ra_plus_50,step_nominal,16.76552858049849,1103.7250599074232,0.0006377560389074688,196.54655646847144,0.3069999999999825,0.3359999999999793,-0.0006313467820291407,0.666
MPC_linear_clipped,ra_plus_50,step_load_disturbance,17.220305689359467,1114.4521253010791,0.3871627414462452,210.96843098744995,0.32199999999998086,0.3559999999999771,-0.3871281590155178,0.704
MPC_linear_clipped,ra_plus_50,ramp,1.078221788483361,2.3469448980495535,2.200141585970548,138.18596785238825,0.46199999999996544,0.49999999999996125,-2.20017250640555,0.0
MPC_linear_clipped,ra_plus_50,sine,19.64985790991293,1541.0059534178847,2.4428141420108793,200.61209936740477,,0.49999999999996125,-18.932166232069605,0.59
MPC_linear_clipped,j_plus_50,step_nominal,18.238621932991645,1211.12070596104,6.818925339928228e-05,209.89397712132387,0.32999999999998,0.35999999999997667,-2.826959971002907e-06,0.712
MPC_linear_clipped,j_plus_50,step_load_disturbance,18.62374264191092,1221.8160084999527,0.2605399361176984,220.25828186651694,0.34299999999997854,0.374999999999975,-0.2602928349832041,0.742
MPC_linear_clipped,j_plus_50,ramp,1.0889181025012675,2.3938595765846076,2.221901658432483,138.1259586004434,0.46199999999996544,0.49999999999996125,-2.2219016637258324,0.0
MPC_linear_clipped,j_plus_50,sine,20.79256293793342,1661.3758366850486,2.4662087839768496,206.56992147324593,,0.49999999999996125,-18.954338683521264,0.614
MPC_linear_clipped,friction,step_nominal,12.429596112142834,823.9738813943706,0.06507055129242588,145.0679987780083,0.22499999999999154,0.24499999999998934,-0.06507054951923408,0.486
MPC_linear_clipped,friction,step_load_disturbance,12.54060285315392,824.6344735610041,0.3253527293317603,151.38201523699595,0.2279999999999912,0.2489999999999889,-0.3253527263796343,0.494
MPC_linear_clipped,friction,ramp,0.7635549485154229,1.1728533386294049,1.546469416059501,72.91971279179825,0.4579999999999659,0.0,-1.5464694160500505,0.0
